name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,cost_for_two,restaurant_type,city_list
jalsa,Yes,Yes,4.1,775,banashankari,casual dining,"Pasta, Lunch Buffet, Masala Papad, Paneer Lajawab, Tomato Shorba, Dum Biryani, Sweet Corn Soup","North Indian, Mughlai, Chinese",800,Buffet,Banashankari
spice elephant,Yes,No,4.1,787,banashankari,casual dining,"Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani","Chinese, North Indian, Thai",800,Buffet,Banashankari
san churro cafe,Yes,No,3.8,918,banashankari,"cafe, casual dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",800,Buffet,Banashankari
addhuri udupi bhojana,No,No,3.7,88,banashankari,quick bites,Masala Dosa,"South Indian, North Indian",300,Buffet,Banashankari
grand village,No,No,3.8,166,basavanagudi,casual dining,"Panipuri, Gol Gappe","North Indian, Rajasthani",600,Buffet,Banashankari
timepass dinner,Yes,No,3.8,286,basavanagudi,casual dining,"Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice",North Indian,600,Buffet,Banashankari
onesta,Yes,Yes,4.6,2556,banashankari,"casual dining, cafe","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian",600,Cafes,Banashankari
penthouse cafe,Yes,No,4.0,324,banashankari,cafe,"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches","Cafe, Italian, Continental",700,Cafes,Banashankari
smacznego,Yes,No,4.2,504,banashankari,cafe,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos","Cafe, Mexican, Italian, Momos, Beverages",550,Cafes,Banashankari
cafãâãâãâãâãâãâãâãâ© down the alley,Yes,No,4.1,402,banashankari,cafe,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",Cafe,500,Cafes,Banashankari
cafe shuffle,Yes,Yes,4.2,150,banashankari,cafe,"Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos","Cafe, Italian, Continental",600,Cafes,Banashankari
the coffee shack,Yes,Yes,4.2,164,banashankari,cafe,"Coffee, Spaghetti, Pancakes, Nachos, Pasta, Sandwich, Garlic Bread","Cafe, Chinese, Continental, Italian",500,Cafes,Banashankari
caf-eleven,No,No,4.0,424,banashankari,cafe,"Sandwich, Omelette, Ice Tea, Virgin Mojito, Hot Chocolate, Pasta Arrabiata, Hazelnut Cappuccino","Cafe, Continental",450,Cafes,Banashankari
san churro cafe,Yes,No,3.8,918,banashankari,"cafe, casual dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",800,Cafes,Banashankari
cafe vivacity,Yes,No,3.8,90,banashankari,cafe,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",Cafe,650,Cafes,Banashankari
catch-up-ino,Yes,No,3.9,133,banashankari,cafe,"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi","Cafe, Fast Food, Continental, Chinese, Momos",800,Cafes,Banashankari
kirthi's biryani,Yes,No,3.8,144,banashankari,cafe,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Chinese, Cafe, Italian",700,Cafes,Banashankari
t3h cafe,No,No,3.9,93,banashankari,cafe,"Cheese Maggi, Peri Peri Fries, Pasta Arrabiata","Cafe, Italian, American",300,Cafes,Banashankari
the vintage cafe,Yes,No,3.0,62,banashankari,cafe,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea","Cafe, French, North Indian",400,Cafes,Banashankari
woodee pizza,Yes,No,3.7,180,banashankari,cafe,"Pizza, Garlic Bread","Cafe, Pizza, Fast Food, Beverages",500,Cafes,Banashankari
my tea house,Yes,No,3.6,62,banashankari,"quick bites, cafe","Pasta, Iced Tea","Italian, Fast Food, Cafe, European",600,Cafes,Banashankari
srinathji's cafe,No,No,3.8,148,basavanagudi,"casual dining, cafe","Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda","North Indian, Cafe, Chinese, Fast Food",550,Cafes,Banashankari
redberrys,Yes,No,4.0,219,basavanagudi,cafe,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam","Cafe, Italian",600,Cafes,Banashankari
foodiction,Yes,No,2.8,506,banashankari,quick bites,"Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani","North Indian, Fast Food, Chinese, Burger",500,Delivery,Banashankari
ovenstory pizza,Yes,No,3.9,172,banashankari,delivery,"Paneer Tikka, Garlic Bread, Thin Crust Pizza, Falafel, Veggie Pizza",Pizza,750,Delivery,Banashankari
faasos,Yes,No,4.2,415,banashankari,quick bites,"Rolls, Veggie Wrap, Chocolate Fantasy, Rice Bowls, Chicken Rice, Paneer Makhanwala, Chicken Tikka Wrap","North Indian, Biryani, Fast Food",500,Delivery,Banashankari
behrouz biryani,Yes,No,3.9,230,banashankari,delivery,"Raita, Gulab Jamun, Paneer Biryani, Vegetable Biryani, Gosht Dum Biryani, Chicken Biryani, Murgh Biryani",Biryani,650,Delivery,Banashankari
szechuan dragon,Yes,No,4.2,1647,banashankari,casual dining,"Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken","Chinese, Thai, Momos",600,Delivery,Banashankari
empire restaurant,Yes,No,4.4,4884,jayanagar,casual dining,"Chicken Tikka Masala, Mutton Keema Dosa, Mutton Biryani, Raan Biryani, Brain Fry, Chicken Grill, Ghee Rice","North Indian, Mughlai, South Indian, Chinese",750,Delivery,Banashankari
chaatimes,Yes,No,3.8,133,basavanagudi,quick bites,"Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri","Street Food, Fast Food",200,Delivery,Banashankari
mcdonald's,Yes,No,3.9,286,banashankari,quick bites,"Burgers, Fries, Hot Chocolate","Burger, Fast Food",500,Delivery,Banashankari
domino's pizza,Yes,No,3.9,540,banashankari,quick bites,"Pane Pizza, Lava Cake, Pasta, Stuffed Garlic Bread, Chocolava Cake, Tacos","Pizza, Fast Food",800,Delivery,Banashankari
onesta,Yes,Yes,4.6,2556,banashankari,"casual dining, cafe","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian",600,Delivery,Banashankari
hotboxit,No,No,3.8,36,banashankari,delivery,Prompt Service,"North Indian, Continental, Italian",400,Delivery,Banashankari
kitchen garden,Yes,No,3.6,244,kumaraswamy layout,quick bites,Biryani,"North Indian, Chinese",300,Delivery,Banashankari
recipe,Yes,No,4.0,804,kumaraswamy layout,casual dining,"Butter Chicken, Noodles, Thali, Biryani","North Indian, Chinese, Biryani, Rolls",450,Delivery,Banashankari
beijing bites,Yes,No,3.7,679,rajarajeshwari nagar,casual dining,"Momos, Dragon Chicken, Hakka Noodles, Chowmein, Chop Suey, Chilli Garlic Noodles, Garlic Rice","Chinese, Thai",850,Delivery,Banashankari
tasty bytes,Yes,No,3.1,245,kumaraswamy layout,quick bites,"Paratha, Pasta","North Indian, Chinese, Momos, Rolls",300,Delivery,Banashankari
corner house ice cream,No,No,4.3,345,banashankari,dessert parlor,"Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse","Ice Cream, Desserts",400,Delivery,Banashankari
biryanis and more,Yes,No,4.0,618,jayanagar,casual dining,"Prawn Biryani, Dragon Chicken, Chicken Boneless Biryani, Afghani Biryani, Mughlai Biryani, Paneer Tikka Biryani, Gongura Biryani","Biryani, North Indian, Chinese, Andhra, South Indian",750,Delivery,Banashankari
roving feast,No,No,4.0,1047,banashankari,quick bites,"Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti","Italian, Continental, Fast Food, Chinese, Momos",450,Delivery,Banashankari
freshmenu,Yes,No,3.9,627,banashankari,delivery,"Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza","Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,Delivery,Banashankari
wamama,Yes,Yes,4.2,354,banashankari,casual dining,"Sushi, Noodles, Wine, Khau Suey, Mocktails, Yakisoba, Spring Roll","Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800,Delivery,Banashankari
peppy peppers,No,No,4.2,244,banashankari,casual dining,"Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup","Italian, North Indian, Mexican",800,Delivery,Banashankari
goa 0 km,Yes,Yes,3.6,163,kumaraswamy layout,casual dining,"Sea Food, Crab Meat, Crab Soup, Fish Curry, Chicken Cafreal, Butter Naan, Butter Chicken","Goan, Seafood, North Indian, Chinese, Biryani",800,Delivery,Banashankari
1947,No,Yes,4.0,808,banashankari,casual dining,"Salads, Panneer Butter Masala, Rabri, Gajar Ka Halwa, Manchow Soup, Aam Panna, Tomato Basil Soup","North Indian, Chinese",850,Delivery,Banashankari
kabab magic,Yes,No,4.1,1720,basavanagudi,quick bites,"Grape Juice, Chicken Grill, Chicken Tikka Roll, Shawarma Roll, Chicken Shawarama, Biryani Combo, Rolls","North Indian, Kebab, Chinese, Fast Food",400,Delivery,Banashankari
gustoes beer house,No,No,4.1,868,banashankari,pub,"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings","Continental, Italian, Mexican, North Indian, Chinese, Steak","1,200",Delivery,Banashankari
the biryani cafe,No,No,4.1,520,banashankari,quick bites,"Vegetable Biryani, Ginger Chicken, Chicken Biryani, Donne Biryani, Chicken Kebab, Egg Bhurji, Dum Biryani","Biryani, Chinese, Kebab",300,Delivery,Banashankari
rolls on wheels,No,No,3.6,299,banashankari,quick bites,"Rolls, Momos, Fries, Veggie Roll, Chicken Kebab Roll, Paneer Roll, Cheese Roll","Fast Food, Rolls, Momos",300,Delivery,Banashankari
sri guru kottureshwara davangere benne dosa,Yes,No,4.1,558,basavanagudi,quick bites,"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa",South Indian,150,Delivery,Banashankari
upahar sagar,No,No,3.8,39,banashankari,quick bites,Masala Dosa,"South Indian, Chinese, North Indian",350,Delivery,Banashankari
frozen bottle,Yes,No,4.2,146,banashankari,beverage shop,"Berryblast, Waffles, Cheesecake, Salted Caramel","Beverages, Desserts, Ice Cream",400,Delivery,Banashankari
meghana foods,Yes,No,4.4,4401,jayanagar,casual dining,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita","Biryani, North Indian, Chinese",600,Delivery,Banashankari
nandhini deluxe,No,No,2.6,283,banashankari,casual dining,"Biryani, Chicken Guntur, Thali, Buttermilk, Manchurian",North Indian,600,Delivery,Banashankari
vi ra's bar and restaurant,No,No,3.3,62,banashankari,bar,Chilli Chicken,"South Indian, North Indian, Chinese",800,Delivery,Banashankari
chatar patar,No,No,3.7,65,banashankari,quick bites,"Panipuri, Chaat, Noodles, Dahi Bhalle","Fast Food, Street Food",300,Delivery,Banashankari
polar bear,Yes,No,3.8,71,basavanagudi,dessert parlor,Hot Chocolate Fudge,"Ice Cream, Desserts, Beverages, Sandwich",400,Delivery,Banashankari
kidambi's kitchen,No,No,3.5,52,banashankari,quick bites,Rooftop Ambience,South Indian,300,Delivery,Banashankari
mane thindi,No,No,3.7,130,banashankari,quick bites,"Coffee, Tea, Kesari Bath, Open Dosa, Vada, Idli, Bread Dosa",South Indian,200,Delivery,Banashankari
floured-baked with love,No,No,3.8,45,banashankari,"takeaway, delivery","Cup Cake, Chocolate Cake",Bakery,400,Delivery,Banashankari
bengaluru coffee house,Yes,No,4.1,201,banashankari,quick bites,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli","South Indian, North Indian, Chinese, Street Food",300,Delivery,Banashankari
anna kuteera,Yes,No,4.0,771,banashankari,casual dining,"Panner Tikka, Kulfi, Coffee, Pav Bhaji, Carrot Halwa, Fried Rice, Set Dosa","South Indian, North Indian, Chinese",450,Delivery,Banashankari
darbar,No,No,3.0,98,banashankari,bar,"Paneer Tikka, Dal Kichadi, French Fries","North Indian, Chinese",800,Delivery,Banashankari
sri udupi food hub,Yes,Yes,4.1,175,jayanagar,casual dining,"Filter Coffee, Masala Dosa, Idli, Vada","South Indian, North Indian, Chinese, Beverages",500,Delivery,Banashankari
house of kebabs,Yes,No,3.8,540,basavanagudi,casual dining,"Rolls, Shawarma, Butter Chicken, Mutton Biryani, Lahori Chicken, Chicken Roll, Grape Juice","North Indian, Kebab, Biryani, Chinese",650,Delivery,Banashankari
roll n rock,Yes,No,3.8,124,kumaraswamy layout,quick bites,"Rolls, Paratha, Chicken Biryani","Chinese, North Indian, Mughlai, Rolls",400,Delivery,Banashankari
box8- desi meals,Yes,No,4.1,340,banashankari,"takeaway, delivery","Paratha, Mughlai Chicken, Masala Lemonade, Butter Chicken, Rajma, Sandwich, Salad","North Indian, Mughlai, Fast Food",500,Delivery,Banashankari
kfc,Yes,No,3.8,505,banashankari,quick bites,"Burgers, French Fries","Burger, Fast Food",450,Delivery,Banashankari
roll over,Yes,No,4.1,438,jayanagar,dessert parlor,"Rolls, Ice Cream Roll, Paan Ice Cream, Coffee, Vanilla Ice Cream, Chocolate Icecreams, Mississippi Mudpie","Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500,Delivery,Banashankari
imperial restaurant,Yes,No,3.7,264,mysore road,casual dining,"Kadhai Paneer, Ghee Rice, Chicken Grill, Shawarma, Paratha, Biryani, Butter Chicken","North Indian, Chinese, Biryani, Beverages",750,Delivery,Banashankari
wahab,Yes,No,3.7,97,jayanagar,quick bites,"Chicken Biryani, Rolls","North Indian, Mughlai, Chinese",350,Delivery,Banashankari
canton,Yes,No,3.6,195,jayanagar,casual dining,"Roast Pork, Tai Pai Chicken, Beer, Sweet Corn Chicken Soup, Masala Peanuts, Chinese Chop Suey, Chicken Lollipop","Chinese, Seafood, Biryani",800,Delivery,Banashankari
the blue wagon - kitchen,Yes,No,4.6,228,jayanagar,cafe,"Pizza, Nachos, Garlic Maggi, Burgers, Cheese Maggi, Bruschetta Bites, Sandwich","Cafe, Beverages",400,Delivery,Banashankari
patio 805,Yes,Yes,4.1,364,jayanagar,casual dining,"Noodles, Laksa Soup, Coffee, Veg Fritters, Vegetarian, Babycorn Manchurian, Mango Salad","Thai, Vietnamese, Asian, Chinese","1,200",Delivery,Banashankari
lassi corner,Yes,No,3.7,107,basavanagudi,beverage shop,Lassi,"Beverages, Ice Cream",150,Delivery,Banashankari
sagar deluxe,Yes,No,3.2,167,kumaraswamy layout,quick bites,"Coffee, Chaat","South Indian, North Indian, Chinese, Juices",300,Delivery,Banashankari
energy addaa,Yes,No,4.2,64,basavanagudi,quick bites,"Pizza, Nachos, Salads, Peri Peri Fries, Brownie, Pasta Alfredo, Spaghetti","Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500,Delivery,Banashankari
tandoori knight,Yes,No,3.0,290,banashankari,quick bites,"Chicken Grill, Biryani, Roti, Chicken Masala","North Indian, Chinese, Biryani, Kebab",450,Delivery,Banashankari
dev sagar - food street,Yes,No,4.1,233,basavanagudi,quick bites,"Chaat, Pav Bhaji, Dabeli, Vada Pav, Tawa Pulav, Panipuri, Malpua",Street Food,200,Delivery,Banashankari
mitraa da pizza,Yes,No,3.8,115,kumaraswamy layout,quick bites,"Pizza, Burgers","Fast Food, Pizza",250,Delivery,Banashankari
grazers,Yes,Yes,3.9,291,jayanagar,cafe,"Burgers, Panneer Butter Masala, Pasta, Hot Dog, Fries, Cheesy Pizza, Potato Wedges","Cafe, Burger, Continental, Italian, Desserts",650,Delivery,Banashankari
shakes theory,Yes,No,4.5,155,jayanagar,beverage shop,"Sandwiches, Thick Shakes, Paan Shake, Brownie Bomb, Fries, Spinach Corn Sandwich, Paneer Peri Peri","Beverages, Sandwich",300,Delivery,Banashankari
@italy,Yes,No,4.1,305,kumaraswamy layout,casual dining,"Pizza, Pasta, Spinach Salsa, Garlic Bread, Lasagne, Bruschettas, Chocolate Bomb",Italian,700,Delivery,Banashankari
old mumbai ice cream,Yes,No,3.9,38,banashankari,dessert parlor,Friendly Staff,Ice Cream,150,Delivery,Banashankari
donne biriyani house,Yes,No,3.9,441,banashankari,quick bites,Biryani,"South Indian, North Indian, Chinese, Biryani",400,Delivery,Banashankari
kedia's fun food,Yes,No,4.3,630,jayanagar,quick bites,"Paratha, Vada Pav, Chaat, Pav Bhaji, Panipuri, Masala Poori, Dhokla","North Indian, Street Food, Juices",200,Delivery,Banashankari
just shawarma,Yes,No,3.9,160,kumaraswamy layout,quick bites,"Whole Meat Shawarma, Fries",Arabian,300,Delivery,Banashankari
mini punjabi dhaba,Yes,No,4.2,287,banashankari,quick bites,"Panneer Butter Masala, Lassi, Paratha, Jeera Rice, Paneer Parantha, Bhindi Fry, Veg Kolhapuri",North Indian,350,Delivery,Banashankari
cafãâãâãâãâãâãâãâãâ© down the alley,Yes,No,4.1,402,banashankari,cafe,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",Cafe,500,Delivery,Banashankari
gokul veg,Yes,No,3.8,469,basavanagudi,casual dining,"Masala Papad, Paneer Satay, Vegetable Biryani, Panneer Butter Masala, Tomato Soup, Manchow Soup, Roti","North Indian, Chinese, Beverages",750,Delivery,Banashankari
olive - era,Yes,No,3.3,511,kumaraswamy layout,casual dining,"Shawarma, Biryani, Bbq Chicken, Chicken Grill, Raita","BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550,Delivery,Banashankari
gama gama,Yes,No,3.9,264,banashankari,quick bites,"Jowar Roti, Buttermilk, Sabudana Vada, Thali, Mirchi Bajji, Brinjal Curry",South Indian,200,Delivery,Banashankari
the vintage cafe,Yes,No,3.0,62,banashankari,cafe,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea","Cafe, French, North Indian",400,Delivery,Banashankari
pizza hut,Yes,No,3.8,693,banashankari,casual dining,"Supreme Pizza, Potato Wedges, Masala Lemonade, Tandoori Paneer, Exotic Garlic Bread","Pizza, Fast Food",750,Delivery,Banashankari
mangalore pearl,Yes,No,3.8,242,jayanagar,casual dining,"Neer Dosa, Sea Food, Ghee Rice, Marwai Sukka, Egg Biryani, Kori Roti, Thai Fish","Mangalorean, Seafood, Chinese, Biryani",650,Delivery,Banashankari
twiststick house,Yes,No,4.1,163,basavanagudi,quick bites,"White Pasta, Noodles, Babycorn Manchurian, Pizza, Veg Momos, Fry Momos, Tawa Pulav","Continental, Fast Food, Street Food, Momos",500,Delivery,Banashankari
cool corner,Yes,No,4.2,191,basavanagudi,quick bites,"Masala Dosa, Sandwiches, Coffee, Onion Dosa, Rava Dosa, Chaat, Sandwich","Street Food, Fast Food",250,Delivery,Banashankari
pizza mane,Yes,No,3.5,32,banashankari,quick bites,"French Fries, Burgers","Pizza, Sandwich, Burger, Fast Food",150,Delivery,Banashankari
dal tadkaa,Yes,No,2.5,247,banashankari,casual dining,"Paratha, Boondi Raita, Roti, Kulfi, Panneer Butter Masala, Sweet Lassi, Dal Tadka",North Indian,500,Delivery,Banashankari
chutney chang,Yes,Yes,4.1,2339,jayanagar,casual dining,"Veg Momos, Brownie Chocolate, Palak Chaat, Mutton Biryani, Dahipuri, Fish, Sea Food","North Indian, Chinese, BBQ","1,500",Delivery,Banashankari
mystique palate,Yes,No,4.1,337,jayanagar,quick bites,"Noodles, Pasta, Schezwan Momos, Chicken Momo, Teriyaki Chicken, Thukpa, Fries","Chinese, Fast Food",300,Delivery,Banashankari
thamboola,Yes,No,3.9,135,banashankari,casual dining,"Spring Roll, Manchow Soup, Babycorn Manchurian, Mint Cooler, Roti, Panneer Butter Masala","North Indian, Chinese, Continental",800,Delivery,Banashankari
castle rock,Yes,No,3.6,172,uttarahalli,casual dining,Biryani,"North Indian, Chinese",700,Delivery,Banashankari
vietnamese kitchen,Yes,No,3.6,105,banashankari,casual dining,"Pho, Papaya Salad, Coffee, Veg Momos, Rolls",Vietnamese,700,Delivery,Banashankari
smacznego,Yes,No,4.2,504,banashankari,cafe,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos","Cafe, Mexican, Italian, Momos, Beverages",550,Delivery,Banashankari
toscano,Yes,Yes,4.3,1129,jayanagar,casual dining,"Pizza, Pasta, Salads, Calamari, Ravioli, Pumpkin Soup, Wine","Italian, Salad","1,300",Delivery,Banashankari
stoned monkey,Yes,No,4.3,860,banashankari,dessert parlor,"Nachos, Cup Cake, Hot Chocolate Fudge, Salsa, Cheesy Garlic Bread, Waffles, Tiramisu","Desserts, Ice Cream",500,Delivery,Banashankari
central jail restaurant,Yes,No,3.8,412,jayanagar,casual dining,"Lime Soda, Manchow Soup, Biryani, Lemon Chicken, Tomato Soup, Butter Naan, Chilli Chicken","Andhra, Seafood, North Indian, Chinese",700,Delivery,Banashankari
bella,Yes,Yes,3.9,142,jayanagar,casual dining,"Murgh Ghee Roast, Fish Fry, Ghee Roast Paneer, Neer Dosa, Appam, Sea Food, Chicken Sukha","Mangalorean, Seafood, South Indian","1,000",Delivery,Banashankari
new prashanth hotel,Yes,No,3.6,143,jayanagar,casual dining,"Ragi Mudde, Lemon Chicken, Chilli Chicken, Chicken Curry, Mutton Chops, Mutton Biryani","South Indian, Biryani, Chinese, North Indian",750,Delivery,Banashankari
karma kaapi,Yes,No,4.4,181,jayanagar,beverage shop,"Pasta, Potato Fries, Potato Wedges, Hot Chocolate, Chaat, Filter Coffee, Americano","Beverages, Tea",250,Delivery,Banashankari
tiwari's,Yes,No,3.8,70,jayanagar,quick bites,"Sweet Lassi, Gulab Jamun, Palak Paneer Paratha, Paneer Parantha","North Indian, Street Food",200,Delivery,Banashankari
pizza stop,Yes,No,3.8,164,basavanagudi,quick bites,"Pizza, White Sauce Pasta, Masala Garlic Bread","Pizza, Italian",600,Delivery,Banashankari
biggies burger 'n' more,Yes,No,3.6,58,kumaraswamy layout,quick bites,"Burgers, Fries, Mojito, Chicken Burger","Cafe, Burger, Beverages",650,Delivery,Banashankari
srinathji's cafe,No,No,3.8,148,basavanagudi,"casual dining, cafe","Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda","North Indian, Cafe, Chinese, Fast Food",550,Delivery,Banashankari
kollapuri's,No,No,3.9,206,basavanagudi,quick bites,"Chicken Biryani, Mutton Biryani, Egg Biryani, Chicken Fry, Mutton Fry","South Indian, Mangalorean",450,Delivery,Banashankari
rs shiv sagar,No,No,3.7,217,basavanagudi,casual dining,"Chaat, Brownie, Onion Rings, Tomato Soup, Paneer Manchurian, Thali, Faluda","North Indian, Chinese, South Indian, Fast Food, Juices",450,Delivery,Banashankari
harshi super sandwich,No,No,3.8,148,basavanagudi,quick bites,"Sandwiches, Chocolate Sandwich, Chaat, Veg Cheese Sandwich, Chilli Cheese, Corn Sandwich","Fast Food, Street Food",150,Delivery,Banashankari
ugadi,Yes,No,2.9,177,jayanagar,casual dining,"Prawn Biryani, Andhra Meal, Veg Thali, Fry Piece Biryani, Gongura Chicken, Paratha","North Indian, Chinese, Biryani, Andhra, Mangalorean",700,Delivery,Banashankari
subway,Yes,No,3.7,136,banashankari,quick bites,"Veggie Delight, Paneer Tikka, Salad","Salad, Fast Food",600,Delivery,Banashankari
the lassi park,Yes,No,4.1,185,jayanagar,quick bites,"Faluda, Brownie, Sandwich, Kulfi, Fruit Salad, Sweet Lassi, Chocolate Fudge","Juices, Desserts",200,Delivery,Banashankari
a2b - adyar ananda bhavan,Yes,No,3.8,155,mysore road,casual dining,"Pav Bhaji, Masala Dosa, Idli Vada, Filter Coffee, Pongal, Curd Rice, Kesari Bath","South Indian, North Indian, Chinese, Street Food",400,Delivery,Banashankari
srikrishna bhavan,Yes,No,3.8,42,banashankari,quick bites,"Roti, Masala Dosa","South Indian, North Indian, Chinese",300,Delivery,Banashankari
timepass dinner,Yes,No,3.8,286,basavanagudi,casual dining,"Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice",North Indian,600,Delivery,Banashankari
green gardenia,Yes,No,3.8,160,banashankari,casual dining,"Masala Papad, Paneer Satay, Paneer Hyderabadi, Butter Naan, Roti","North Indian, Chinese",700,Delivery,Banashankari
j spice,Yes,No,3.8,59,banashankari,casual dining,"Stuffed Mushroom, Chicken Biryani, Jal-jeera","North Indian, Chinese",750,Delivery,Banashankari
hatti kaapi,Yes,No,4.0,89,jayanagar,quick bites,"Filter Coffee, Tea, Hot Coffee, Hatti Samosa","South Indian, Beverages",200,Delivery,Banashankari
upahara darshini,Yes,No,3.9,40,basavanagudi,casual dining,Masala Dosa,"North Indian, Chinese, South Indian, Fast Food",600,Delivery,Banashankari
the chaat shop,Yes,No,2.5,35,basavanagudi,quick bites,"Badam Milk, Potato Twister, Pav Bhaji, Panipuri, Tikki Chaat, Cheese Cutlet",Fast Food,200,Delivery,Banashankari
my tea house,Yes,No,3.6,62,banashankari,"quick bites, cafe","Pasta, Iced Tea","Italian, Fast Food, Cafe, European",600,Delivery,Banashankari
samskruti - sanman gardenia,Yes,No,4.1,139,jayanagar,casual dining,"Roti, Butter Kulcha, Fried Rice, Tomato Soup, Curd Rice, Lunch Buffet, Paneer Tikka","North Indian, Chinese, South Indian",550,Delivery,Banashankari
chumma delicious,Yes,No,3.7,237,banashankari,quick bites,Chicken Biryani,"South Indian, Fast Food",200,Delivery,Banashankari
new prashanth hotel,Yes,No,3.9,388,banashankari,casual dining,"Chicken Biryani, Ragi Mudde, Mutton Chops","Biryani, North Indian, Seafood, Andhra",650,Delivery,Banashankari
dwaraka grand,Yes,No,3.9,128,kumaraswamy layout,casual dining,"Masala Dosa, Coffee","South Indian, Chinese, Street Food, Juices",500,Delivery,Banashankari
gufha - the president hotel,Yes,Yes,4.1,1875,jayanagar,casual dining,"Cocktails, Paneer Tikka, Rasmalai, Rabri, Masala Papad, Vegetable Biryani, Chicken Curry","North Indian, Afghani, Mughlai","1,200",Delivery,Banashankari
cafe vivacity,Yes,No,3.8,90,banashankari,cafe,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",Cafe,650,Delivery,Banashankari
mojo pizza - 2x toppings,Yes,No,4.2,179,banashankari,delivery,"Veggie Pizza, Garlic Bread, Lava Cake, Chocolava, Spicy Paneer",Pizza,600,Delivery,Banashankari
south kitchen,Yes,No,4.3,275,basavanagudi,quick bites,"Kharabath, Crispy Vada, Filter Coffee, Idli Vada, Idli Chutney, Kesari Bath, Gulab Jamun",South Indian,100,Delivery,Banashankari
chung wah,Yes,No,3.7,323,jayanagar,casual dining,"Noodles, Veg Momos, Chowmein, Schezwan Fried Rice, Clear Soup, Sweet Corn Soup, Chicken Wings","Chinese, Thai, Momos",850,Delivery,Banashankari
prems graama bhojanam,Yes,No,4.3,322,jayanagar,casual dining,"Veg Thali, Matka Kulfi, Pongal, Buttermilk, Vada, Ragi Mudde, Curd Rice",South Indian,400,Delivery,Banashankari
java city,Yes,No,2.6,157,jayanagar,cafe,"Coffee, Sandwich, Hot Chocolate, Ice Tea, Sandwiches, Chicken Lasagne, Pizza","Cafe, American, Pizza",450,Delivery,Banashankari
